"","rat_id","line_f","sex","sex_f","round_f","proportion_time_cat","velocity_cat","velocity_diff","distance_cat","freq_enter_cat"
"70","rat_70","TgTH-HIGH","Male","1","Round_3",0.468107,1.92102,-1.2471,4643.81,38
"71","rat_71","TgTH-MID","Male","1","Round_2",0.118822,5.0092,2.12378,4494.25,18
"72","rat_72","TgTH-MID","Female","2","Round_2",0.118382,6.53589,3.1491,6888.04,70
"73","rat_73","TgTH-HIGH","Male","1","Round_3",0.121453,5.80277,3.94305,5939.94,41
"74","rat_74","TgTH-HIGH","Female","2","Round_3",0.150467,6.80077,2.82414,8938.94,98
"75","rat_75","TgTH-MID","Female","2","Round_2",0.141684,4.94064,2.74247,5063.57,45
"76","rat_76","TgTH-HIGH","Female","2","Round_3",0.238778,4.50127,-0.0703800000000001,9267.75,88
"77","rat_77","TgTH-MID","Male","1","Round_2",0.19008,4.73865,1.29567,6442.48,68
"78","rat_78","TgTH-HIGH","Male","1","Round_3",0.108347,3.91369,2.10778,3784.23,25
"79","rat_79","TgTH-MID","Female","2","Round_2",0.175533,4.75244,1.21878,5878.57,63
"80","rat_80","TgTH-MID","Male","1","Round_2",0.257858,3.57723,-0.75535,7506.18,72
"81","rat_81","TgTH-HIGH","Female","2","Round_3",0.259436,4.03401,-0.53547,8636.34,97
"82","rat_82","TgTH-HIGH","Male","1","Round_3",0.240907,1.90536,-0.27448,4093.01,32
"83","rat_83","TgTH-HIGH","Female","2","Round_3",0.189293,5.20748,1.21014,8871.67,93
"84","rat_84","TgTH-HIGH","Male","1","Round_3",0.265622,1.45974,-0.67431,3154.62,13
"85","rat_85","TgTH-MID","Female","2","Round_2",0.28824,4.37672,-0.59525,9621.6,75
